  ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,else,identifier,if,int,num,return,void,while,{,},Actual_parameter_list,Add_expression,Add_expression_loop,Assign_sentence,Call_func,Call_func_check,Const_value,Create_Function_table,Exit_Function_table,Expression,Expression_loop,FTYPE,Factor,Factor_loop,Formal_parameter,Formal_parameter_list,Function_stmt,If_expression,If_sentence,If_sentence_m0,If_sentence_m1,If_sentence_n,Internal_stmt,Internal_variable_stmt,Item,Item_loop,Parameter,Parameter_loop,Program,Relop,Return_expression,Return_sentence,Sentence,Sentence_block,Sentence_block_m,Sentence_loop,Sentence_string,Start,Stmt,Stmt_loop,Stmt_string,Stmt_type,Variavle_stmt,While_sentence,While_sentence_m1,While_sentence_m2
state 30,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s36,s39,error,error,s37,error,s38,error,error,error,error,error,s35,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s32,error,error,error,error,error,error,error,error,error,error,error,error,s34,s31,error,error,error,error,error,error,error,error,error,error,s33,error,error
state 31,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r26,r26,error,error,r26,error,r26,error,r25,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 32,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r28,r28,error,error,r28,error,r28,error,r28,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 33,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r29,r29,error,error,r29,error,r29,error,r29,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 34,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r30,r30,error,error,r30,error,r30,error,r30,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 35,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r31,r31,error,error,r31,error,r31,error,r31,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 36,error,error,error,error,error,error,error,error,error,error,error,error,s91,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 37,error,error,r46,error,error,error,error,error,error,r34,error,error,error,error,error,error,error,r46,error,error,r46,error,error,error,error,error,error,error,s43,error,error,error,error,error,error,s89,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s88,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 38,error,error,r37,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s82,error
state 39,error,error,r42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s40,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 40,error,error,s41,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 41,error,error,r46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r46,error,error,r46,error,error,error,error,error,error,error,s43,error,error,error,error,error,error,s42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 42,error,error,error,s75,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 43,error,error,r55,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r55,error,error,r55,error,error,error,error,error,error,s44,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s45,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 44,s74,error,error,r45,error,error,r45,error,error,r45,s69,s70,error,s73,s71,s72,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s68,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 45,error,error,r59,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r59,error,error,r59,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s47,error,error,error,error,error,error,error,error,error,error,s46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
